Provider,PotentialFraud,num_inpatient_claims,num_outpatient_claims,total_claims,ip_reimb_mean,ip_reimb_sum,ip_deduct_mean,ip_deduct_sum,op_reimb_mean,op_reimb_sum,op_deduct_mean,op_deduct_sum
PRV51076,No,0,29,29,,,,,352.7586206896552,10230.0,1.7241379310344827,50.0
PRV51077,Yes,16,17,33,12437.5,199000.0,1068.0,16020.0,314.70588235294116,5350.0,11.764705882352942,200.0
PRV51078,No,9,14,23,8444.444444444445,76000.0,1068.0,8544.0,162.14285714285714,2270.0,7.142857142857143,100.0
PRV51081,No,6,194,200,13166.666666666666,79000.0,1068.0,6408.0,232.37113402061857,45080.0,3.917525773195876,760.0
PRV51082,No,0,34,34,,,,,160.88235294117646,5470.0,2.0588235294117645,70.0
PRV51083,No,0,90,90,,,,,201.11111111111111,18100.0,1.5555555555555556,140.0
PRV51084,Yes,20,90,110,9550.0,191000.0,1068.0,21360.0,273.1111111111111,24580.0,5.888888888888889,530.0
PRV51086,No,31,108,139,13322.58064516129,413000.0,1068.0,33108.0,307.1296296296296,33170.0,0.5555555555555556,60.0
PRV51089,No,18,210,228,9833.333333333334,177000.0,1068.0,18156.0,256.6666666666667,53900.0,2.5714285714285716,540.0
PRV51090,No,0,7,7,,,,,832.8571428571429,5830.0,8.571428571428571,60.0
PRV51091,No,0,44,44,,,,,210.6818181818182,9270.0,1.8181818181818181,80.0
PRV51093,No,2,7,9,5500.0,11000.0,1068.0,2136.0,387.14285714285717,2710.0,0.0,0.0
PRV51096,No,0,5,5,,,,,640.0,3200.0,20.0,100.0
PRV51097,No,0,125,125,,,,,355.36,44420.0,1.84,230.0
PRV51098,No,0,4,4,,,,,75.0,300.0,0.0,0.0
PRV51100,No,5,0,5,15600.0,78000.0,1068.0,5340.0,,,,
PRV51101,No,3,0,3,5533.333333333333,16600.0,1068.0,3204.0,,,,
PRV51102,No,12,0,12,12333.333333333334,148000.0,1068.0,12816.0,,,,
PRV51103,Yes,0,6,6,,,,,73.33333333333333,440.0,10.0,60.0
PRV51104,No,0,12,12,,,,,158.33333333333334,1900.0,9.166666666666666,110.0
PRV51105,No,0,12,12,,,,,545.0,6540.0,0.0,0.0
PRV51108,No,19,0,19,8210.526315789473,156000.0,1068.0,19224.0,,,,
PRV51109,No,3,0,3,6000.0,18000.0,1068.0,3204.0,,,,
PRV51110,No,5,0,5,5400.0,27000.0,1068.0,5340.0,,,,
PRV51111,No,0,132,132,,,,,415.6060606060606,54860.0,1.5151515151515151,200.0
PRV51112,No,0,304,304,,,,,346.2171052631579,105250.0,2.664473684210526,810.0
PRV51113,No,0,132,132,,,,,351.43939393939394,46390.0,4.166666666666667,550.0
PRV51114,No,0,262,262,,,,,292.82442748091603,76720.0,2.1374045801526718,560.0
PRV51115,No,0,7,7,,,,,140.0,980.0,2.857142857142857,20.0
PRV51117,No,0,12,12,,,,,162.5,1950.0,0.0,0.0
PRV51118,No,16,0,16,8500.0,136000.0,1068.0,14952.0,,,,
PRV51119,Yes,94,1,95,10478.72340425532,985000.0,1068.0,96120.0,95580.0,95580.0,865.0,865.0
PRV51120,No,7,0,7,7428.571428571428,52000.0,1068.0,7476.0,,,,
PRV51121,No,6,1,7,13500.0,81000.0,1068.0,6408.0,80.0,80.0,0.0,0.0
PRV51122,No,0,7,7,,,,,160.0,1120.0,0.0,0.0
PRV51123,No,2,29,31,4500.0,9000.0,1068.0,2136.0,617.5862068965517,17910.0,1.3793103448275863,40.0
PRV51125,No,12,36,48,9166.666666666666,110000.0,1068.0,12816.0,591.9444444444445,21310.0,7.777777777777778,280.0
PRV51126,Yes,20,0,20,8850.0,177000.0,1068.0,21360.0,,,,
PRV51128,No,5,45,50,18000.0,90000.0,1068.0,5340.0,271.55555555555554,12220.0,0.0,0.0
PRV51129,No,0,96,96,,,,,238.75,22920.0,5.0,480.0
PRV51130,No,0,7,7,,,,,710.0,4970.0,0.0,0.0
PRV51131,No,0,8,8,,,,,145.0,1160.0,8.75,70.0
PRV51132,No,1,7,8,4000.0,4000.0,1068.0,1068.0,190.0,1330.0,0.0,0.0
PRV51134,No,0,15,15,,,,,507.3333333333333,7610.0,5.333333333333333,80.0
PRV51135,No,0,5,5,,,,,60.0,300.0,0.0,0.0
PRV51136,No,1,0,1,20000.0,20000.0,1068.0,1068.0,,,,
PRV51137,No,1,54,55,6000.0,6000.0,1068.0,1068.0,186.11111111111111,10050.0,5.185185185185185,280.0
PRV51138,No,1,25,26,6000.0,6000.0,1068.0,1068.0,297.2,7430.0,0.0,0.0
PRV51139,No,7,36,43,5900.0,41300.0,1068.0,7476.0,313.3333333333333,11280.0,1.1111111111111112,40.0
PRV51140,No,47,440,487,6540.425531914893,307400.0,1068.0,49128.0,331.20454545454544,145730.0,2.9318181818181817,1290.0
PRV51141,No,0,71,71,,,,,274.50704225352115,19490.0,2.3943661971830985,170.0
PRV51142,No,7,44,51,13857.142857142857,97000.0,1068.0,7476.0,172.04545454545453,7570.0,1.3636363636363635,60.0
PRV51143,No,0,77,77,,,,,265.5844155844156,20450.0,4.545454545454546,350.0
PRV51144,No,4,26,30,13250.0,53000.0,1068.0,4272.0,316.15384615384613,8220.0,8.461538461538462,220.0
PRV51145,Yes,161,41,202,9941.614906832297,1600600.0,1068.0,166608.0,140.2439024390244,5750.0,3.4146341463414633,140.0
PRV51146,Yes,162,190,352,9988.888888888889,1618200.0,1068.0,170880.0,330.05263157894734,62710.0,4.157894736842105,790.0
PRV51147,No,0,32,32,,,,,276.875,8860.0,6.5625,210.0
PRV51148,Yes,34,296,330,11717.64705882353,398400.0,1068.0,35244.0,304.93243243243245,90260.0,3.5472972972972974,1050.0
PRV51149,Yes,116,32,148,9594.827586206897,1113000.0,1068.0,123888.0,240.0,7680.0,2.1875,70.0
PRV51151,No,22,211,233,6454.545454545455,142000.0,1068.0,22428.0,281.042654028436,59300.0,4.123222748815166,870.0
PRV51152,No,0,83,83,,,,,310.48192771084337,25770.0,6.024096385542169,500.0
PRV51153,No,4,83,87,12750.0,51000.0,1068.0,4272.0,246.86746987951807,20490.0,7.590361445783133,630.0
PRV51154,No,0,161,161,,,,,284.16149068322983,45750.0,4.906832298136646,790.0
PRV51155,No,0,115,115,,,,,228.95652173913044,26330.0,1.391304347826087,160.0
PRV51156,No,0,542,542,,,,,259.48339483394835,140640.0,3.1734317343173433,1720.0
PRV51159,Yes,65,504,569,9779.384615384615,635660.0,1068.0,69420.0,321.68650793650795,162130.0,2.0436507936507935,1030.0
PRV51160,No,90,24,114,9622.222222222223,866000.0,1068.0,96120.0,250.83333333333334,6020.0,0.8333333333333334,20.0
PRV51164,No,41,350,391,10804.878048780487,443000.0,1068.0,43788.0,325.65714285714284,113980.0,2.1714285714285713,760.0
PRV51165,No,26,72,98,11769.23076923077,306000.0,1068.0,27768.0,329.1666666666667,23700.0,4.444444444444445,320.0
PRV51166,No,1,4,5,22000.0,22000.0,1068.0,1068.0,717.5,2870.0,0.0,0.0
PRV51167,No,0,190,190,,,,,273.57894736842104,51980.0,2.1578947368421053,410.0
PRV51168,No,9,78,87,7000.0,63000.0,1068.0,9612.0,223.97435897435898,17470.0,2.1794871794871793,170.0
PRV51169,No,0,77,77,,,,,251.6883116883117,19380.0,0.6493506493506493,50.0
PRV51170,Yes,8,8,16,18125.0,145000.0,1068.0,8544.0,102.5,820.0,0.0,0.0
PRV51171,No,0,59,59,,,,,234.23728813559322,13820.0,3.389830508474576,200.0
PRV51173,Yes,7,15,22,12857.142857142857,90000.0,1068.0,7476.0,419.3333333333333,6290.0,13.333333333333334,200.0
PRV51175,No,0,41,41,,,,,235.3658536585366,9650.0,2.1951219512195124,90.0
PRV51176,No,0,445,445,,,,,328.0449438202247,145980.0,1.9550561797752808,870.0
PRV51178,Yes,34,31,65,12411.764705882353,422000.0,1068.0,36312.0,296.1290322580645,9180.0,9.35483870967742,290.0
PRV51179,No,0,26,26,,,,,192.30769230769232,5000.0,0.0,0.0
PRV51180,No,2,127,129,23500.0,47000.0,1068.0,2136.0,371.9685039370079,47240.0,2.204724409448819,280.0
PRV51181,No,0,10,10,,,,,215.0,2150.0,0.0,0.0
PRV51183,No,41,72,113,8214.634146341463,336800.0,1068.0,42720.0,263.75,18990.0,0.9722222222222222,70.0
PRV51185,No,0,8,8,,,,,198.75,1590.0,0.0,0.0
PRV51186,No,0,2,2,,,,,50.0,100.0,0.0,0.0
PRV51189,No,0,56,56,,,,,156.07142857142858,8740.0,4.285714285714286,240.0
PRV51190,No,3,63,66,8000.0,24000.0,1068.0,3204.0,243.015873015873,15310.0,5.238095238095238,330.0
PRV51191,No,0,32,32,,,,,343.4375,10990.0,2.8125,90.0
PRV51194,No,2,7,9,9000.0,18000.0,1068.0,2136.0,77.14285714285714,540.0,0.0,0.0
PRV51196,No,0,720,720,,,,,273.69444444444446,197060.0,2.4305555555555554,1750.0
PRV51198,No,0,6,6,,,,,60.0,360.0,5.0,30.0
PRV51200,No,0,19,19,,,,,232.6315789473684,4420.0,0.0,0.0
PRV51201,No,0,45,45,,,,,236.88888888888889,10660.0,1.1111111111111112,50.0
PRV51202,No,0,12,12,,,,,417.5,5010.0,0.0,0.0
PRV51203,No,0,21,21,,,,,730.4761904761905,15340.0,3.8095238095238093,80.0
PRV51204,No,0,499,499,,,,,310.9819639278557,155180.0,1.2024048096192386,600.0
PRV51205,No,0,10,10,,,,,466.0,4660.0,7.0,70.0
PRV51206,No,0,10,10,,,,,156.0,1560.0,0.0,0.0
PRV51207,No,3,0,3,17000.0,51000.0,1068.0,3204.0,,,,
PRV51209,No,0,42,42,,,,,235.95238095238096,9910.0,4.0476190476190474,170.0
PRV51210,No,0,9,9,,,,,321.1111111111111,2890.0,0.0,0.0
PRV51211,No,0,2,2,,,,,50.0,100.0,0.0,0.0
PRV51212,No,0,15,15,,,,,417.3333333333333,6260.0,4.666666666666667,70.0
PRV51213,No,0,2,2,,,,,25.0,50.0,0.0,0.0
PRV51214,No,0,8,8,,,,,400.0,3200.0,0.0,0.0
PRV51215,No,0,10,10,,,,,161.0,1610.0,0.0,0.0
PRV51216,No,0,71,71,,,,,219.1549295774648,15560.0,8.028169014084508,570.0
PRV51217,No,0,5,5,,,,,586.0,2930.0,0.0,0.0
PRV51218,No,0,7,7,,,,,74.28571428571429,520.0,0.0,0.0
PRV51219,No,0,8,8,,,,,666.25,5330.0,0.0,0.0
PRV51221,No,0,1,1,,,,,70.0,70.0,0.0,0.0
PRV51222,No,0,5,5,,,,,172.0,860.0,0.0,0.0
PRV51224,No,0,7,7,,,,,447.14285714285717,3130.0,0.0,0.0
PRV51225,No,0,8,8,,,,,148.75,1190.0,0.0,0.0
PRV51226,No,0,20,20,,,,,371.5,7430.0,13.5,270.0
PRV51228,No,0,5,5,,,,,86.0,430.0,14.0,70.0
PRV51229,No,0,47,47,,,,,264.0425531914894,12410.0,2.3404255319148937,110.0
PRV51230,No,0,30,30,,,,,416.3333333333333,12490.0,0.0,0.0
PRV51231,No,2,0,2,8000.0,16000.0,1068.0,2136.0,,,,
PRV51232,No,1,0,1,26000.0,26000.0,1068.0,1068.0,,,,
PRV51233,No,3,0,3,9000.0,27000.0,1068.0,3204.0,,,,
PRV51234,No,5,0,5,5800.0,29000.0,1068.0,5340.0,,,,
PRV51235,No,2,0,2,5000.0,10000.0,1068.0,2136.0,,,,
PRV51236,No,1,0,1,12000.0,12000.0,1068.0,1068.0,,,,
PRV51237,No,1,0,1,19000.0,19000.0,1068.0,1068.0,,,,
PRV51238,No,8,0,8,16500.0,132000.0,1068.0,4272.0,,,,
PRV51239,No,1,0,1,5000.0,5000.0,1068.0,1068.0,,,,
PRV51240,No,11,49,60,7363.636363636364,81000.0,1068.0,11748.0,265.7142857142857,13020.0,0.8163265306122449,40.0
PRV51241,No,10,50,60,7800.0,78000.0,1068.0,9612.0,244.2,12210.0,3.2,160.0
PRV51242,Yes,11,100,111,8000.0,88000.0,1068.0,10680.0,292.0,29200.0,4.2,420.0
PRV51243,No,0,36,36,,,,,175.83333333333334,6330.0,7.5,270.0
PRV51244,Yes,200,1215,1415,8980.5,1796100.0,1068.0,209328.0,294.559670781893,357890.0,2.1316872427983538,2590.0
PRV51245,No,4,169,173,5000.0,20000.0,1068.0,3204.0,376.50887573964496,63630.0,4.0828402366863905,690.0
PRV51247,No,10,24,34,7400.0,74000.0,1068.0,9612.0,93.33333333333333,2240.0,4.583333333333333,110.0
PRV51248,No,1,1,2,23000.0,23000.0,1068.0,1068.0,500.0,500.0,0.0,0.0
PRV51249,Yes,51,75,126,9921.56862745098,506000.0,1068.0,51264.0,204.4,15330.0,2.8,210.0
PRV51250,No,0,85,85,,,,,265.4117647058824,22560.0,3.2941176470588234,280.0
PRV51251,No,0,11,11,,,,,326.3636363636364,3590.0,0.0,0.0
PRV51252,No,18,69,87,7888.888888888889,142000.0,1068.0,18156.0,187.3913043478261,12930.0,2.898550724637681,200.0
PRV51253,No,0,85,85,,,,,255.76470588235293,21740.0,3.5294117647058822,300.0
PRV51255,No,2,72,74,5500.0,11000.0,1068.0,2136.0,410.69444444444446,29570.0,0.8333333333333334,60.0
PRV51256,No,0,95,95,,,,,405.7894736842105,38550.0,0.0,0.0
PRV51258,No,8,6,14,12250.0,98000.0,1068.0,8544.0,276.6666666666667,1660.0,33.333333333333336,200.0
PRV51259,No,4,17,21,37500.0,150000.0,1068.0,4272.0,115.29411764705883,1960.0,0.0,0.0
PRV51260,No,3,59,62,26000.0,78000.0,1068.0,3204.0,243.89830508474577,14390.0,0.0,0.0
PRV51261,No,26,116,142,9423.076923076924,245000.0,1068.0,26700.0,216.98275862068965,25170.0,3.6206896551724137,420.0
PRV51262,No,0,60,60,,,,,271.1666666666667,16270.0,0.6666666666666666,40.0
PRV51263,Yes,18,26,44,11666.666666666666,210000.0,1068.0,19224.0,314.2307692307692,8170.0,2.6923076923076925,70.0
PRV51264,No,0,39,39,,,,,135.12820512820514,5270.0,3.076923076923077,120.0
PRV51265,No,0,160,160,,,,,286.0625,45770.0,4.6875,750.0
PRV51266,No,10,82,92,7830.0,78300.0,1068.0,9612.0,300.0,24600.0,1.829268292682927,150.0
PRV51267,No,2,12,14,4500.0,9000.0,1068.0,2136.0,322.5,3870.0,2.5,30.0
PRV51271,No,2,121,123,8500.0,17000.0,1068.0,2136.0,216.36363636363637,26180.0,1.6528925619834711,200.0
PRV51272,No,2,77,79,11000.0,22000.0,1068.0,2136.0,373.5064935064935,28760.0,8.051948051948052,620.0
PRV51273,No,0,553,553,,,,,237.50452079566003,131340.0,2.5316455696202533,1400.0
PRV51274,No,10,48,58,16500.0,165000.0,1068.0,10680.0,223.33333333333334,10720.0,1.25,60.0
PRV51276,No,14,53,67,8285.714285714286,116000.0,1068.0,14952.0,339.24528301886795,17980.0,6.037735849056604,320.0
PRV51277,No,10,49,59,12100.0,121000.0,1068.0,10680.0,412.0408163265306,20190.0,4.8979591836734695,240.0
PRV51279,No,0,224,224,,,,,267.14285714285717,59840.0,3.3482142857142856,750.0
PRV51280,No,0,39,39,,,,,519.2307692307693,20250.0,0.0,0.0
PRV51281,No,0,259,259,,,,,345.44401544401546,89470.0,2.664092664092664,690.0
PRV51282,No,8,51,59,8250.0,66000.0,1068.0,8544.0,222.15686274509804,11330.0,1.5686274509803921,80.0
PRV51284,No,17,360,377,10705.882352941177,182000.0,1068.0,17088.0,271.8333333333333,97860.0,2.6944444444444446,970.0
PRV51285,No,15,153,168,10733.333333333334,161000.0,1068.0,16020.0,229.54248366013073,35120.0,3.3333333333333335,510.0
PRV51286,No,15,55,70,9066.666666666666,136000.0,1068.0,16020.0,166.72727272727272,9170.0,5.636363636363637,310.0
PRV51287,No,0,78,78,,,,,329.4871794871795,25700.0,1.2820512820512822,100.0
PRV51288,No,3,5,8,12333.333333333334,37000.0,1068.0,3204.0,72.0,360.0,0.0,0.0
PRV51289,No,0,92,92,,,,,503.2608695652174,46300.0,2.608695652173913,240.0
PRV51290,No,0,113,113,,,,,132.65486725663717,14990.0,2.3008849557522124,260.0
PRV51292,No,0,22,22,,,,,180.45454545454547,3970.0,0.0,0.0
PRV51293,No,0,88,88,,,,,240.9090909090909,21200.0,0.22727272727272727,20.0
PRV51295,No,0,7,7,,,,,278.57142857142856,1950.0,0.0,0.0
PRV51296,No,3,27,30,11000.0,33000.0,1068.0,3204.0,208.5185185185185,5630.0,2.962962962962963,80.0
PRV51297,No,5,65,70,10200.0,51000.0,1068.0,5340.0,401.38461538461536,26090.0,1.0769230769230769,70.0
PRV51298,No,0,100,100,,,,,311.2,31120.0,5.5,550.0
PRV51299,No,0,37,37,,,,,168.3783783783784,6230.0,0.8108108108108109,30.0
PRV51300,No,7,45,52,13285.714285714286,93000.0,1068.0,7476.0,323.1111111111111,14540.0,3.5555555555555554,160.0
PRV51301,No,6,106,112,18000.0,108000.0,1068.0,6408.0,272.7358490566038,28910.0,2.9245283018867925,310.0
PRV51302,No,10,33,43,7600.0,76000.0,1068.0,10680.0,142.72727272727272,4710.0,2.121212121212121,70.0
PRV51303,No,0,93,93,,,,,388.2795698924731,36110.0,5.483870967741935,510.0
PRV51304,No,2,49,51,14000.0,28000.0,1068.0,2136.0,231.6326530612245,11350.0,3.4693877551020407,170.0
PRV51305,No,11,38,49,8909.09090909091,98000.0,1068.0,11748.0,405.2631578947368,15400.0,0.0,0.0
PRV51306,No,0,17,17,,,,,217.64705882352942,3700.0,5.882352941176471,100.0
PRV51307,No,0,37,37,,,,,187.56756756756758,6940.0,2.1621621621621623,80.0
PRV51308,No,0,35,35,,,,,394.0,13790.0,3.7142857142857144,130.0
PRV51309,No,0,18,18,,,,,210.55555555555554,3790.0,0.0,0.0
PRV51311,No,3,18,21,4333.333333333333,13000.0,1068.0,3204.0,167.22222222222223,3010.0,0.0,0.0
PRV51312,No,4,42,46,4750.0,19000.0,1068.0,4272.0,233.0952380952381,9790.0,0.0,0.0
PRV51313,No,0,19,19,,,,,261.57894736842104,4970.0,4.7368421052631575,90.0
PRV51314,No,0,30,30,,,,,215.33333333333334,6460.0,0.0,0.0
PRV51315,No,0,47,47,,,,,153.40425531914894,7210.0,7.23404255319149,340.0
PRV51316,No,3,0,3,7000.0,21000.0,1068.0,3204.0,,,,
PRV51318,No,3,0,3,4333.333333333333,13000.0,1068.0,3204.0,,,,
PRV51322,No,0,12,12,,,,,70.83333333333333,850.0,0.0,0.0
PRV51323,No,0,76,76,,,,,274.4736842105263,20860.0,4.2105263157894735,320.0
PRV51324,No,0,28,28,,,,,333.2142857142857,9330.0,0.0,0.0
PRV51325,No,0,15,15,,,,,1009.3333333333334,15140.0,0.0,0.0
PRV51326,No,0,44,44,,,,,318.1818181818182,14000.0,2.0454545454545454,90.0
PRV51327,No,0,41,41,,,,,219.26829268292684,8990.0,3.658536585365854,150.0
PRV51328,No,0,7,7,,,,,78.57142857142857,550.0,0.0,0.0
PRV51329,No,0,74,74,,,,,261.6216216216216,19360.0,3.2432432432432434,240.0
PRV51330,No,0,19,19,,,,,200.52631578947367,3810.0,1.0526315789473684,20.0
PRV51331,No,0,5,5,,,,,64.0,320.0,8.0,40.0
PRV51334,No,2,0,2,7500.0,15000.0,1068.0,2136.0,,,,
PRV51335,No,0,142,142,,,,,324.50704225352115,46080.0,2.816901408450704,400.0
PRV51336,No,10,59,69,11600.0,116000.0,1068.0,10680.0,227.96610169491527,13450.0,0.3389830508474576,20.0
PRV51337,Yes,40,128,168,8750.0,350000.0,1068.0,41652.0,227.34375,29100.0,2.34375,300.0
PRV51338,Yes,7,121,128,10428.57142857143,73000.0,1068.0,7476.0,337.68595041322317,40860.0,3.71900826446281,450.0
PRV51340,No,0,151,151,,,,,286.158940397351,43210.0,0.06622516556291391,10.0
PRV51341,No,0,71,71,,,,,204.64788732394365,14530.0,0.9859154929577465,70.0
PRV51342,No,28,179,207,11392.857142857143,319000.0,1068.0,28836.0,211.0614525139665,37780.0,2.9608938547486034,530.0
PRV51344,No,2,31,33,9500.0,19000.0,1068.0,2136.0,233.8709677419355,7250.0,0.0,0.0
PRV51345,No,0,49,49,,,,,308.57142857142856,15120.0,4.489795918367347,220.0
PRV51346,No,5,261,266,8200.0,41000.0,1068.0,5340.0,243.25670498084293,63490.0,1.839080459770115,480.0
PRV51347,Yes,0,2067,2067,,,,,288.7760038703435,596900.0,2.4625060474117078,5090.0
PRV51348,No,19,36,55,7684.210526315789,146000.0,1068.0,20292.0,175.83333333333334,6330.0,4.166666666666667,150.0
PRV51349,No,5,25,30,7400.0,37000.0,1068.0,5340.0,139.2,3480.0,2.8,70.0
PRV51350,No,21,218,239,6761.9047619047615,142000.0,1068.0,22428.0,327.43119266055044,71380.0,3.623853211009174,790.0
PRV51351,No,0,32,32,,,,,338.75,10840.0,0.0,0.0
PRV51352,No,0,4,4,,,,,1475.0,5900.0,0.0,0.0
PRV51353,No,5,13,18,10000.0,50000.0,1068.0,5340.0,93.07692307692308,1210.0,3.8461538461538463,50.0
PRV51354,No,1,3,4,10000.0,10000.0,,,146.66666666666666,440.0,0.0,0.0
PRV51355,No,15,59,74,8940.0,134100.0,1068.0,16020.0,185.76271186440678,10960.0,3.8983050847457625,230.0
PRV51356,No,17,78,95,9823.529411764706,167000.0,1068.0,17088.0,266.6666666666667,20800.0,2.1794871794871793,170.0
PRV51357,Yes,13,148,161,13076.923076923076,170000.0,1068.0,12816.0,237.36486486486487,35130.0,0.8108108108108109,120.0
PRV51358,No,7,10,17,8571.42857142857,60000.0,1068.0,7476.0,121.0,1210.0,6.0,60.0
